,Question,choice 1,choice 2,choice 3,choice 4
2938,The president is the leader of what institution?,walmart,white house,country,corporation
2939,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
2940,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
2941,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
2942,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
2943,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
2944,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
2945,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
2946,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
2947,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
2948,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
2949,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
2950,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
2951,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
2952,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
2953,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
2954,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
2955,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
2956,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
2957,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
2958,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
2959,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
2960,What do drugs do?,damage,cloud mind,lower i.q,cause illness
2961,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
2962,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
2963,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
2964,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
2965,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
2966,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
2967,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
2968,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
2969,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
2970,Who was the head of the branch yelling at?,owner,foot,subordinate,base
2971,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
2972,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
2973,Where could you see an advertisement while reading news?,television,bus,email,web page
2974,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
2975,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
2976,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
2977,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
2978,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
2979,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
2980,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
2981,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
